,id,Genre,Track,Artist,valence,energy,danceability,key,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,popularity,audio,energy_standard,valence_standard
1664,5grmNnhOTNSbcq3R1heVT1,songwriter,Supernova,Ray LaMontagne,0.927,0.7509999999999999,0.581,11,-7.178999999999999,0.0301,0.138,0.00104,0.0893,133.851,235426,50,https://p.scdn.co/mp3-preview/7199f899b7302a16ad5160746e5064267a441610?cid=b39a670615f14cfca30a8178b3bc3ed6,0.3538827918873325,1.6119566225084825
1663,384ft9nYgu5fpnbeSMXkMo,acoustic,I'm Yours - From the Casa Nova Sessions,Jason Mraz,0.517,0.208,0.518,9,-10.253,0.0359,0.9,0.0,0.0963,140.988,287093,50,https://p.scdn.co/mp3-preview/78a104fd1a150fd2450b30a245700f86f12cc044?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.8075668970914118,0.0878589094227742
1662,05ZroIPvy6d2wlQ9AIDcWp,deep-house,Promesses,Dimmi,0.662,0.81,0.6779999999999999,5,-7.433,0.0431,0.2189999999999999,0.151,0.0889,127.067,209763,50,https://p.scdn.co/mp3-preview/233d5be066d1fa68e631ed2ddfc645ad057c18c0?cid=b39a670615f14cfca30a8178b3bc3ed6,0.5887364413343791,0.6268690762457686
1657,7E7UH5jsEw1vhiM01EQ5gL,guitar,Excuse Me Mr.,No Doubt,0.6609999999999999,0.955,0.327,5,-5.435,0.105,0.0034799999999999,0.0,0.435,145.859,185626,50,0,1.1659191391279662,0.6231517647504372
1660,4ZOv9mx6Lz7RRaBFi5UNaE,indie,Aquarium,Nosaj Thing,0.271,0.655,0.635,0,-9.521,0.0484,0.15,0.5529999999999999,0.129,91.026,184000,50,https://p.scdn.co/mp3-preview/cbe2b3871f7061c734a794d2cc56048aa0d36053?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.028251959755317916,-0.8265997184286507
1659,2bbhyUWJ5VjdfI3P4PRLu2,sleep,Samson,Regina Spektor,0.184,0.193,0.49,11,-9.544,0.0421,0.862,9.74e-06,0.113,89.154,189506,50,https://p.scdn.co/mp3-preview/606d71f5fdee98f17edf34a2765d868f88007dbe?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.8672754520355759,-1.1500058185224473
1658,0GybyL5gY2kSLgiSwauFei,indian,Dekha Hai Aise Bhi,Lucky Ali,0.875,0.664,0.718,4,-7.466,0.0499,0.0618,0.0,0.0932,148.031,238066,50,https://p.scdn.co/mp3-preview/c4f2e0e0c0ecc801bcdc8fc57857992862812399?cid=b39a670615f14cfca30a8178b3bc3ed6,0.0075731732111806475,1.4186564247512705
1671,45ZmUXITNXixqBjelRmBSO,acoustic,Candy,Paolo Nutini,0.368,0.601,0.612,7,-7.809,0.0421,0.373,0.0,0.156,125.164,298693,50,https://p.scdn.co/mp3-preview/a49b039f6722caca73bba39af96c3b801581f2c3?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.24320275755430928,-0.4660205033815442
1656,6HzZhqXNyfJxuvQ9zfCc1U,rock-n-roll,Faithfully,Journey,0.307,0.547,0.3929999999999999,11,-7.776,0.0291,0.263,0.0,0.104,129.67700000000002,266266,50,https://p.scdn.co/mp3-preview/9dd46e9a9c7b3ad244b4887d75a2b202c810eabb?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.4581535553533002,-0.6927765045967349
1655,5YiYgzELh2M8I3LyLOMnNz,latino,Guaya Guaya,Don Omar,0.687,0.872,0.6890000000000001,7,-2.116,0.243,0.0066099999999999,0.000196,0.136,183.942,194013,50,0,0.8355318017702577,0.7198018636290436
1654,7wA4XiTQOWByeF6DGWoxkt,r-n-b,Let Me Know (feat. Future),Tamar Braxton,0.433,0.667,0.55,2,-5.362,0.0346,0.0958,0.0,0.138,78.01899999999999,238653,50,https://p.scdn.co/mp3-preview/2cc786935f1181e23f226bb9074d9346399e5217?cid=b39a670615f14cfca30a8178b3bc3ed6,0.019514884200013502,-0.22439525618502948
1653,2SMYQhVrLA7NRjUxAVghSH,punk-rock,Shut Up!,Simple Plan,0.436,0.959,0.507,1,-4.763,0.118,0.00104,0.0,0.147,165.136,182986,50,https://p.scdn.co/mp3-preview/741d9e0b55ff7fdfa786a5697c6090a675403d31?cid=b39a670615f14cfca30a8178b3bc3ed6,1.18184142044641,-0.21324332169903648
1652,5la3Ns6Kijy768nRHOvpCL,german,Wenn jetzt Sommer wär,Pohlmann.,0.54,0.529,0.581,9,-9.303,0.0412,0.1689999999999999,0.0,0.192,172.979,225040,50,0,-0.5298038212862973,0.17335707381538717
1670,664fvVG2C15AoBlbmpig3p,house,E.T. - Benny Benassi Radio Edit,Katy Perry,0.163,0.633,0.534,5,-4.921,0.0406,0.05,2.71e-05,0.113,136.03799999999998,200893,50,0,-0.11582450700675885,-1.2280693599243981
