id,Genre,track_name,Artist,valence,energy,danceability,key,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,popularity,audio,energy_standard,valence_standard
4aVuWgvD0X63hcOCnZtNFA,rock,Hold the Line,TOTO,0.808,0.898,0.473,6,-4.797,0.0561,0.00783,0.0618,0.173,96.556,235546,81,https://p.scdn.co/mp3-preview/11e480955e46f3b6b5c1e0b6c28db18c25c1e73e?cid=b39a670615f14cfca30a8178b3bc3ed6,0.939299707829426,1.1690027156317595
3K4HG9evC7dg3N0R9cYqk4,rock-n-roll,One Step Closer,Linkin Park,0.538,0.969,0.492,9,-4.419,0.0491,0.0014,1.32e-06,0.0787,95.136,157333,81,https://p.scdn.co/mp3-preview/93915a6ffff1e702717623fe052e781e68bde91b?cid=b39a670615f14cfca30a8178b3bc3ed6,1.2219212951116616,0.16548788815138357
3lGMtkONrZdJ8kTCg6KIFf,latin,Hasta la Raíz,Natalia Lafourcade,0.592,0.643,0.585,3,-8.392,0.0395,0.201,0.000306,0.144,152.98,221800,81,https://p.scdn.co/mp3-preview/4fa3d64a6a449fed1559441577846bfa3891a5c8?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.07574965494480146,0.3661908536474585
4B0JvthVoAAuygILe3n4Bs,pop,What Do You Mean?,Justin Bieber,0.793,0.567,0.845,5,-8.118,0.0956,0.59,0.00142,0.0811,125.02,205680,80,,-0.37827417090888515,1.1132518918828496
5OCJzvD7sykQEKHH7qAC3C,pop,God is a woman,Ariana Grande,0.268,0.658,0.602,1,-5.934,0.0558,0.0233,6e-05,0.237,145.031,197546,80,,-0.016040868899258612,-0.8380269393289922
5EWPGh7jbTNO2wakv8LjUI,rock,Free Bird,Lynyrd Skynyrd,0.338,0.834,0.249,0,-8.21,0.0577,0.0738,9.48e-05,0.0924,118.223,547106,80,,0.6845422207017765,-0.5778564285007467
6xdLJrVj4vIXwhuG8TMopk,british,Crazy Little Thing Called Love - Remastered 2011,Queen,0.712,0.761,0.599,0,-6.887,0.0421,0.713,4.74e-06,0.349,77.015,163373,80,,0.39395946194680176,0.8121974436387366
4skuEIloXWuxxgekKupkEH,latin,Tu Falta De Querer,Mon Laferte,0.441,0.475,0.394,10,-7.935,0.028,0.0251,0.00749,0.112,129.995,278546,80,,-0.7444880586548808,-0.19503410542489968
1yjY7rpaAQvKwpdUliHx0d,alternative,Still into You,Paramore,0.765,0.923,0.602,5,-3.763,0.044,0.0098,0.0,0.0561,136.01,216013,80,https://p.scdn.co/mp3-preview/4abdea56e053fe7d0f4f4e446b43d404b28edf69?cid=b39a670615f14cfca30a8178b3bc3ed6,1.038814351238664,1.0091836875515512
4lLtanYk6tkMvooU0tWzG8,children,Grenade,Bruno Mars,0.245,0.558,0.704,2,-7.273,0.0542,0.148,0.0,0.107,110.444,222091,80,https://p.scdn.co/mp3-preview/5221be592c832e14506f6304ff1deb6c52ae3fee?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.41409944253621045,-0.9235115357439873
5Hroj5K7vLpIG4FNCRIjbP,indie-pop,Best Day Of My Life,American Authors,0.538,0.902,0.673,2,-2.392,0.0346,0.0591,0.000262,0.0558,100.012,194240,80,,0.9552220507749041,0.16548788815138357
0wwPcA6wtMf6HUMpIRdeP7,pop,Hotline Bling,Drake,0.552,0.628,0.891,2,-7.863,0.0551,0.00258,0.00019,0.0504,134.966,267066,80,,-0.1354584409903443,0.21752199031703273
78lgmZwycJ3nzsdgmPPGNx,rock,Immigrant Song - Remaster,Led Zeppelin,0.619,0.932,0.564,11,-10.068,0.0554,0.013,0.169,0.349,112.937,146250,80,https://p.scdn.co/mp3-preview/f50f3416ea0807503e172ba87a92d8047d4f95da?cid=b39a670615f14cfca30a8178b3bc3ed6,1.0746396228659898,0.46654233639549614
2hKdd3qO7cWr2Jo0Bcs0MA,chill,Drops of Jupiter (Tell Me),Train,0.497,0.638,0.481,0,-5.862,0.0276,0.153,0.0,0.154,79.064,259933,80,https://p.scdn.co/mp3-preview/77dba6a6b863572958909814c9fee6d29f310a45?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.09565258362664907,0.013102303237696756
4jTiyLlOJVJj3mCr7yfPQD,dance,This Could Be Us,Rae Sremmurd,0.758,0.69,0.732,0,-4.992,0.134,0.291,0.0,0.116,143.072,206306,80,,0.11133787466456567,0.9831666364687267
1jF7IL57ayN4Ity3jQqGu0,disco,Try,P!nk,0.552,0.628,0.674,2,-7.079,0.03,0.00144,0.0,0.0944,103.998,247906,80,https://p.scdn.co/mp3-preview/5307933144e41502ac08e9227194a12d418e2c28?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.1354584409903443,0.21752199031703273
1QEEqeFIZktqIpPI4jSVSF,hard-rock,More Than a Feeling,Boston,0.285,0.681,0.377,7,-8.039,0.0298,0.00088,0.0023,0.0504,108.789,285133,80,https://p.scdn.co/mp3-preview/4e8704349932ecb754e3c03cdf3b1563309627a0?cid=b39a670615f14cfca30a8178b3bc3ed6,0.0755126030372404,-0.7748426724135613
0GO8y8jQk1PkHzS31d699N,alternative,Tongue Tied,GROUPLOVE,0.371,0.936,0.56,3,-5.835,0.0439,0.00847,0.0,0.161,112.96,218013,80,https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e?cid=b39a670615f14cfca30a8178b3bc3ed6,1.0905619658114678,-0.4552046162531453
1QFh8OH1e78dGd3VyJZCAC,rock-n-roll,Boys Don't Cry,The Cure,0.671,0.836,0.462,11,-5.766,0.0621,0.00517,0.0,0.18,168.766,155973,80,https://p.scdn.co/mp3-preview/8b7cd349153b57cf48cc14a9e9e541564d48be0c?cid=b39a670615f14cfca30a8178b3bc3ed6,0.6925033921745155,0.6598118587250502
2nGFzvICaeEWjIrBrL2RAx,acoustic,Put Your Records On,Corinne Bailey Rae,0.542,0.511,0.739,9,-7.844,0.0362,0.167,1.34e-06,0.133,96.038,215360,80,,-0.601186972145578,0.1803547744844262
